FID,amenity,name,latitude,longitude
464,restaurant,City Lunch,10.6733999,122.9580002
465,restaurant,Chocolate Fire,14.5600004,121.0199966
466,restaurant,Lan Ten Lomi,10.6718998,122.9570007
467,restaurant,Chinky's,10.6959000,122.9609985
468,restaurant,Mang Inasal,10.6629000,122.9670029
469,restaurant,Acacia Grill,10.6795998,122.9580002
470,restaurant,Rib Eye,15.1639996,120.5889969
471,restaurant,Bistro Garitoni,15.8807001,120.6009979
472,restaurant,Max's Fried Chicken,15.9454002,120.5800018
473,restaurant,Don Henricos,14.6457005,121.0279999
474,restaurant,Hap Chan,14.6452999,121.0279999
475,restaurant,Cabalen,14.6456003,121.0270004
476,restaurant,Shantung Restaurant,14.6477003,121.0289993
477,restaurant,Grills and Sizzles,14.6423998,121.0319977
478,restaurant,Robina's Chicken,14.6569004,121.0189972
479,restaurant,Lola Idang's Bahay Pansitan,14.6420002,121.0329971
480,restaurant,Aberdeen Court,14.6395998,121.0289993
481,restaurant,Maranao Grill,15.1651001,120.5619965
482,restaurant,Mar's Garden,15.1598997,120.5910034
483,restaurant,Old Swiss Inn,14.5563002,121.0260010
484,restaurant,Sea breeze Resto,10.6463003,124.3860016
485,restaurant,Grand Palazzo Royal,15.1393995,120.5609970
486,restaurant,Pizza Hut,9.6418695,123.8560028
487,restaurant,Mang Inasal,10.3247995,123.9769974
488,restaurant,camalig,15.1351995,120.5889969
489,restaurant,Camp 3 Eatery,16.2908993,120.5889969
490,restaurant,House of Waffles,16.4039993,120.6149979
491,restaurant,big bellys,14.5716000,121.0479965
492,restaurant,ArAma Café,14.5497999,121.0540009
493,restaurant,Dolora's Hauz of Pancit Malabon (Barangka Branch),14.6329002,121.0830002
494,restaurant,Red Paint Bar & Grill,14.6337004,121.0849991
495,restaurant,Gangnam Korean,13.8950996,120.9059982
