FID,name,latitude,longitude
454,Partas - Candon Terminal,17.1772995,120.4430008
455,Bus,9.4410801,123.2360001
456,Public Bus Stop,9.7536602,123.5279999
457,Turbanada,11.7700996,125.038002
458,Bus Stop,15.3767004,120.5910034
459,Bus Terminal,15.3710003,120.5910034
460,PP BUSLINE,14.6189003,121.064003
461,VAN TERMINAL TRACSS VAN ASSOSSIATION TERMINAL,17.6280994,121.7320023
462,South Park Mall - Greenbelt P2P Bus,14.4124002,121.0459976
463,Tabuelan Transport Terminal,10.8255997,123.8700027
464,Bart house,14.7066002,121.0569992
465,Baliwag Transit - Papaya Terminal,15.3497,121.0579987
466,Victory Liner - Pasay Terminal,14.5384998,121.0070038
467,Ceres Liner - Kalibo Terminal,11.6896,122.3679962
468,Bicol Isarog - Virac Terminal,13.5759001,124.2279968
469,Jeep to Naic,14.1847,120.7969971
470,SBE Transport,10.4118996,119.1780014
471,Nature Island Transport,10.4117002,119.177002
472,Bulalacao Port,12.3198004,121.3410034
473,Laoag - Vigan,18.1970005,120.5940018
474,Elavil - Pasay Terminal,14.5376997,121.0039978
475,Cavite Batangas Transport Service - Pasay Terminal,14.5382004,121.0039978
476,GT express/ V-Hire terminal,10.2907,123.9680023
477,kalibo - iloilo bus station,11.6898003,122.3669968
478,Cerilles Bus Station,7.82199,123.4369965
479,Cerilles Bus station,7.8231001,123.4369965
480,Airport Shuttle Terminal,11.9990997,120.2020035
481,Dumarao Bus Stop,11.2601995,122.6780014
482,Ozamis City Integrated Bus and Jeepney Terminal,8.1573601,123.8399963
483,Dugo Multicab Terminal,18.3558006,121.6419983
484,Sta. Ana Tricycle Terminal,18.4622993,122.1429977
485,Bus Station,12.4027004,121.987999
486,Multicab terminal for ICM,9.6433601,123.8570023
487,Victory Liner - Tabuk Terminal,17.4731007,121.4639969
488,Jepp / Van to Calapan,13.4968996,120.9550018
489,Calapan Pier UV Express Terminal,13.4281998,121.1949997
490,CABAGAN PASSENGER LOADING AND UNLOADING,17.4244003,121.7779999
491,Mindoro Transport (Van),12.3534002,121.0619965
492,Grand Tours,12.4968996,124.6389999
493,Cherry - El Nido Terminal,11.1831999,119.3929977
494,GV Florida Garage,18.2005005,120.5960007
495,New Turbanada,12.4997997,124.6399994
496,Jeepney Terminal,14.4860001,121.0410004
497,Mlang New Terminal,6.9446402,124.8850021
498,Mlang New Terminal,6.9446101,124.8840027
499,Puerto Galera Grand Terminal (Calapan Bound),13.4968004,120.9550018
500,HUSKY Tours - Cotabato Terminal,7.1911602,124.2340012
501,Argao Bus Stop,9.8805304,123.6050034
502,Pueblo Verde Terminal,10.3015003,123.9629974
503,V-hire station (SM),10.2908001,123.9680023
504,Lapu-lapu city Terminal,10.3128996,123.9570007
505,Kalentong Jeepney Terminal,14.5894003,121.0230026
506,Bus Station,12.8504,120.7819977
507,Baliwag Central Terminal,14.9594002,120.8909988
